"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"CYPROTERONE 50 et 100 mg (Androcur)";"Comprimé sécable";"G03HA01";"Anti-androgènes";"Anti-androgènes non associés";;"E";"Réponse laboratoire";;"C, Y";"Non";"A prendre pendant ou en dehors des repas mais de façon constante, de préférence le repas du matin ou du soir.";"Bayer 03-08-2020 : pas d'étude, peut être écrasé mais ne pas diluer.";"18/04/2023";
"CYSTEAMINE 50 et 150 mg (Cystagon)";"Gélule";"A16AA04";"Autres produits pour les voies digestives et le métabolisme";"Acides aminés et dérivés";;"O";"RCP";;"E, L, Y";"Non";"Mélanger la poudre à des aliments comme le lait, les pommes de terre et autres produits à base d’amidon. Eviter les boissons acides comme le jus d'orange.";;"18/04/2023";
"DABIGATRAN 75, 110 et 150 mg (Pradaxa)";"Gélule";"B01AE07";"Antithrombotiques";"Inhibiteurs directs de la thrombine";;"NO";"RCP";;;"Non";"Risque de surdosage et donc de saignements si ouverture de la gélule.";"Boehringer 18-08-2020 : cf. RCP. Sensible à l'humidité.";"18/04/2023";
"DABRAFENIB 50 et 75 mg (Tafinlar)";"Gélule";"L01EC02";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NO";"RCP";;;"Comprimés dispersibles (AAC)";"A prendre à heure fixe, ? 1h avant ou ? 2h après les repas. Ne pas ouvrir les gélules en raison de l'instabilité chimique du PA.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"DANTROLENE 25 et 100 mg (Dantrium)";"Gélule";"M03CA01";"Myorelaxants à action directe";"Dantrolène et dérivés";;"NO";"Notice patient";;;"Non";"A prendre pendant les repas.";;"18/04/2023";
"DAPAGLIFLOZINE 10 mg
(Forxiga)";"Comprimé";"A10BK01";"Antidiabétiques, insulines exclues";"
Inhibiteurs du cotransporteur sodium-glucose de type 2 (SGLT2)
";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;;;;"18/04/2023";
"DAPSONE / FER 100/200 mg (Disulone)";"Comprimé sécable";"J04BA02";"Antilépreux";"Antilépreux";;"E";"RCP";;"E, J, L, C, Y";"Non";"Peut être écrasé et mélangé à un liquide ou un yaourt.";;"18/04/2023";
"DARUNAVIR 75, 150, 400, 600 et 800 mg (Prezista)";"Comprimé";"J05AE10";"Antiviraux à action directe";"Inhibiteurs de protéase";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Suspension buvable";"A prendre à heure fixe ? 30 min après les repas ou une collation. Eviter le jus de pamplemousse.";;"18/04/2023";
"DASATINIB 20, 50, 70, 100 et 140 mg (Sprycel)";"Comprimé";"L01EA02";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NE";"RCP";;;"Poudre pour suspension buvable";"A prendre à heure fixe. Ne pas écraser pour préserver le dosage et éviter le risque d'exposition cutanée. Eviter le jus de pamplemousse.";;"18/04/2023";
"DEFERASIROX 90, 180 et 360 mg (Exjade)";"Comprimé";"V03AC03";"Tous autres médicaments";"Chélateurs du fer";;"E";"RCP";;"C, Y, V";"Non";"A prendre à heure fixe à jeun ou avec un repas léger. Peut être écrasé dans un yaourt ou une compote pour administration immédiate.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"DESLORATADINE 5 mg (Aerius)";"Comprimé";"R06AX27";"Antihistaminiques à usage systémique";"Autres antihistaminiques à usage systémique";"G";"NE";"Thériaque 03/2023";;;"Solution buvable";;;"18/04/2023";
"DEXAMETHASONE 0,5 mg (Dectancyl)";"Comprimé";"H02AB02";"Corticoïdes à usage systémique non associés";"Glucocorticoïdes";;"E";"RCP";;"C, Y";"Solution buvable (AAC)";"Peut être mélangé à l'alimentation.";;"18/04/2023";
"DEXAMETHASONE 40 mg (Neofordex)";"Comprimé";"H02AB02";"Corticoïdes à usage systémique non associés";"Glucocorticoïdes";;"E";"Réponse laboratoire";;"E, V";"Solution buvable";;"Theravia 05-05-2025 : Pas d'étude mais écrasement possible si administration immédiate. Peu soluble dans l'eau.  Disperser la poudre obtenue dans de l’eau, bien agiter et avaler immédiatement sans laisser de résidu au fond du verre";"12/05/2025";
"DEXCHLORPHENIRAMINE 2 mg (Polaramine)";"Comprimé sécable";"R06AB02";"Antihistaminiques à usage systémique";"Alkylamines substituées";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le soir (effet sédatif).";"Bayer 30-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"DIACEREINE 50 mg (Art)";"Gélule";"M01AX21";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Autres anti-inflammatoires antirhumatismaux non stéroïdiens";;"NO";"RCP";;;"Non";"A prendre pendant les repas.";;"18/04/2023";
"DIAZEPAM 2, 5 et 10 mg (Valium)";"Comprimé sécable";"N05BA01";"Anxiolytiques";"Dérivés des benzodiazépines";;"?";;"Ecrasable selon HUG 03/2023";;"Solution buvable en gouttes";" Eviter le jus de pamplemousse.";"En attente (Centre de Specialites Pharmaceutiques)";"18/04/2023";
"DIAZOXIDE 25 et 100 mg (Proglicem)";"Gélule";"V03AH01";"Tous autres médicaments";"Médicaments de l'hypoglycemie";;"O";"Notice patient";;"C, Y";"Suspension buvable (AAC)";"Mélangeable avec des aliments.";;"18/04/2023";
"DICLOFENAC 25 et 50 mg (Voltarene)";"Comprimé GR";"M01AB05";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide acétique et apparentés";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Suppositoires";"A prendre de préférence pendant les repas.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"DICLOFENAC LP 75 et 100 mg (Voltarene LP)";"Comprimé LP";"M01AB05";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide acétique et apparentés";;"NE";"RCP";;;"? Non LP ?
Suppositoires";"A prendre de préférence pendant les repas.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"DIETHYLCARBAMAZINE 100 mg (Notezine)";"Comprimé sécable";"P02CB02";"Antinématodes";"Pipérazine et dérivés";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence après les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"DIGOXINE 0,125 et 0,25 mg (Hemigoxine, Digoxine)";"Comprimé ";"C01AA05";"Glycosides cardiotoniques";"Glycosides de la Digitale";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable en gouttes";;"Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Goût amer.";"18/04/2023";
"DIHYDROCODEINE LP 60 mg (Dicodin LP)";"Comprimé LP";"N02AA08";"Opioïdes";"Alcaloïdes naturels de l'opium";"G";"NE";"RCP";;;"Non";;;"18/04/2023";
"DILTIAZEM 60 mg (Tildiem)";"Comprimé";"C08DB01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la benzothiazépine";;"NE";"RCP";;"E, V";"Non";"A prendre de préférence au début des repas. Eviter le jus de pamplemousse.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"DILTIAZEM LP 90, 120, 200 et 300 mg (Mono Tildiem LP)";"Gélule LP";"C08DB01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la benzothiazépine";;"NO";"RCP";;;"Non";"A prendre à heure fixe. Eviter le jus de pamplemousse.";"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"30/04/2025";
"DILTIAZEM LP 90 et 120 mg (Bi Tildiem LP)";"Comprimé LP";"C08DB01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la benzothiazépine";;"NE";"RCP";;;;;;"30/04/2025";
"DIMENHYDRINATE / CAFEINE 50/10 mg (Mercalm)";"Comprimé sécable";"R06AA61";"Antiémétiques et antinauséeux";"Autres antiémétiques";;"E";"RCP";;"E";"Sirop (sans caféine)";"A prendre 30 min avant le départ. Peut être écrasé dans un verre d'eau sucrée.";;"18/04/2023";
"DIOSMINE 300 et 600 mg (Diovenor, Mediveine)";"Comprimé";"C05CA03";"Stabilisateurs des capillaires";"Bioflavonoïdes";;"?";;;;"Poudre pour suspension buvable";"A prendre de préférence pendant les repas.";"En attente (Elerte)";"18/04/2023";
"DIOSMINE 500 et 1000 mg (Daflon)";"Comprimé";"C05CA03";"Stabilisateurs des capillaires";"Bioflavonoïdes";;"D";"Thériaque 03/2023";;"E";"Poudre pour suspension buvable";"Peut être dissout sans l'écraser dans de l'eau. A prendre peandant les repas.";;"18/04/2023";
"DIPHENHYDRAMINE 90 mg (Nautamine)";"Comprimé";"R06AA02";"Antihistaminiques à usage systémique";"Ethers d'aminoalkyls";;"E";"RCP";;"E";"Non";"A prendre 30 min avant le départ. Peut être écrasé dans un verre d'eau.";;"18/04/2023";
"DIPYRIDAMOLE 75 mg (Persantine)";"Comprimé";"B01AC07";"Antithrombotiques";"Inhibiteurs de l'agrégation plaquettaire sauf héparines";"G";"NE";"Réponse laboratoire";;;"Non";;"CSP 21-02-2022 : écrasement déconseillé car pas d'étude. Goût amer, PA très peu soluble dans l'eau mais soluble en milieu acide, et présumé photosensible.";"18/04/2023";
"DISOPYRAMIDE 100 mg (Rythmodan)";"Gélule";"C01BA03";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ia";;"NO";"Réponse laboratoire";;;"Non";;"Cheplapharm 14-03-2022 : ouverture déconseillée car pas d'étude. Peu soluble dans l'eau.";"18/04/2023";
"DISOPYRAMIDE LP 125 et 250 mg (Isorythm LP)";"Gélule LP";"C01BA03";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ia";;"NO";"Thériaque 03/2023";;;"Non";;;"18/04/2023";
"DISOPYRAMIDE LP 250 mg (Isorythm LP)";"Comprimé LP";"C01BA03";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ia";;"NE";"Notice patient";;;"Non";;"Cheplapharm 14-03-2022 : cf. RCP";"18/04/2023";
"DISULFIRAME 500 mg (Esperal)";"Comprimé";"N07BB01";"Médicaments des troubles de l'addiction";"Médicaments utilisés en cas de dépendance à l'alcool";;"NE";"Réponse laboratoire";;;"Non";"A prendre le matin pendant les repas, après ? 24h d'abstinence d'alcool.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"DIVALPROATE 250 et 500 mg (Depakote, Divalcote)";"Comprimé GR";"N03AG01";"Thymorégulateur";"Dérivés d'acides gras";;"NE";"Notice patient";;;"Non";;;"09/11/2023";
"DOLUTEGRAVIR 50 mg (Tivicay)";"Comprimé";"J05AJ03";"Antiviraux à action directe";"Autres antiviraux";;"NE";"RCP";"Ecrasable selon HUG 07/2020";;"Comprimés dispersibles
? Adaptation posologique ?";"La biodisponibilité des comprimés dispersibles est 1,6 fois supérieure à celle des comprimés pelliculés.";;"18/04/2023";
"DOMPERIDONE 10 mg (Motilium)";"Comprimé";"A03FA03";"Propulsifs";"Propulsifs";;"NE";"Notice patient";;;"Comprimés orodispersibles, suspension buvable";"A prendre de préférence avant les repas (absorption plus rapide). Eviter le jus de pamplemousse.";;"18/04/2023";
"DONEPEZIL 5 et 10 mg (Aricept)";"Comprimé";"N06DA02";"Médicaments contre la démence";"Anticholinestérasiques";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Comprimés orodispersibles";"A prendre avant le coucher. Eviter le jus de pamplemousse.";;"18/04/2023";
"DOSULEPINE 25 mg (Prothiaden)";"Gélule";"N06AA16";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";;"NO";"Réponse laboratoire";;;"Non";;"Teofarma 08-03-2022 : ouverture déconseillée car pas d'étude.";"18/04/2023";
"DOSULEPINE 75 mg (Prothiaden)";"Comprimé";"N06AA16";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";;"NE";"Réponse laboratoire";;;"Non";;"Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"DOXYCYCLINE 50 et 100 mg (Doxy, Doxypalu, Doxylis, Granudoxy)";"Comprimé sécable";"J01AA02";"Tétracyclines";"Tétracyclines";;"D";"RCP";;"E";"Non";"Peut être dissout sans l'écraser dans ½ verre d'eau. A prendre pendant les repas. Ne pas s'allonger jusqu'à 1 h après la prise (risque d'ulcération de l'oseophage). Ne pas prendre avec du lait (diminue l'absorption).";;"18/04/2023";
"DULOXETINE 30 et 60 mg (Cymbalta)";"Gélule GR";"N06AX21";"Antidépresseurs";"Autres antidépresseurs";;"NO";"Notice patient";"Ouvrable selon HUG 03/2023";"E";"Non";;"Lilly 06-08-2020 : la dose doit être avalée
entière afin de ne pas pour endommager le revêtement entérique.";"18/04/2023";
"DUTASTERIDE 0,5 mg (Avodart)";"Capsule molle";"G04CB02";"Médicaments de l'hypertrophie bénigne de la prostate";"Inhibiteurs de la 5?-réductase";;"NO";"RCP";;;"Non";"PA irritant pour la muqueuse oropharyngée. Ne pas faire manipuler par une femme enceinte.";;"18/04/2023";
"DYDROGESTERONE 10 mg (Duphaston)";"Comprimé";"G03DB01";"Progestatifs";"Dérivés pregnadiène";;"NE";"RCP";;"E, V";"Non";"A prendre de préférence à heure fixe.";"Viatris 17-02-2023 : cf. RCP";"18/04/2023";
"EFAVIRENZ / EMTRICITABINE / TENOFOVIR 600/200/245 mg (génériques)";"Comprimé";"J05AR06";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"RCP";;;"Efavirenz gélule ouvrable, Emtricitabine granulés et Tenofovir solution buvable";"A prendre en dehors des repas et de préférence le soir pour améliorer la tolérance.";;"18/04/2023";
"EFAVIRENZ 50, 100 et 200 mg (Sustiva)";"Gélule";"J05AG03";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse non nucléosidique";;"O";"RCP";;"C, Y";"Non";"A prendre en dehors des repas et de préférence le soir pour améliorer la tolérance. Peut être administré immédiatement dans une petite quantité de nourriture (1-2 cuillères à café). Ne pas manger pendant ? 2 heures après. ";;"18/04/2023";
"EFAVIRENZ 600 mg (génériques)";"Comprimé";"J05AG03";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse non nucléosidique";;"NE";"Notice patient";;;"Gélules ouvrables";"A prendre en dehors des repas et de préférence le soir pour améliorer la tolérance.";;"18/04/2023";
"ELETRIPTAN 20 et 40 mg (Relpax)";"Comprimé";"N02CC06";"Antimigraineux";"Agonistes sélectifs des récepteurs 5-HT1";;"NE";"RCP";;;"Non";"A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.";;"18/04/2023";
"ELTROMBOPAG 25, 50 et 75 mg (Revolade)";"Comprimé";"B02BX05";"Vitamine K et autres hémostatiques";"Autres hémostatiques systémiques";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Poudre pour suspension buvable";"Ne pas consommer ? 4h avant ou ? 2h après la prise d'Eltrombopag de lait et produits laitiers, d'antiacides ni de compléments minéreaux (fer, calcium, magnésium, zinc, sélénium, aluminium…).";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"EMPAGLIFLOZINE 10 et 25 mg (Jardiance)";"Comprimé";"A10BK03";"Antidiabétiques, insulines exclues";"
Inhibiteurs du cotransporteur sodium-glucose de type 2 (SGLT2)
";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre avec ou sans aliments, avalés entiers avec de l’eau. ";"Lilly 27/11/2023 : écrasement déconseillé car pas d'étude";"18/04/2023";
"EMTRICITABINE / RILPIVIRINE / TENOFOVIR 200/25/245 mg (Eviplera)";"Comprimé";"J05AR08";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"Réponse laboratoire";;;"Non";"A prendre pendant les repas. Eviter le jus de pamplemousse.";"Gilead 02-03-2022 : écrasement et fractionnement déconseillés car pas d'étude.";"18/04/2023";
"EMTRICITABINE / TENOFOVIR 200/245 mg (Truvada)";"Comprimé";"J05AR03";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"E";"Notice patient";;"E, J, V";"Solution buvable de Ténofovir et granulés d'Emtricitabine";"A prendre de préférence pendant les repas. Peut être écrasé ou délité dans un verre d'eau, de jus d'orange ou de raisin. Administration immédiate.";;"18/04/2023";
"EMTRICITABINE 200 mg (Emtriva)";"Gélule";"J05AF09";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique";;"NO";"RCP";"Ouvrable selon HUG 03/2023";;"Solution buvable
? Adaptation posologique ?";"La prise d'une gélule de 200 mg équivaut à la prise de 240 mg via la solution buvable.";;"18/04/2023";
"ENALAPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (Co-Renitec)";"Comprimé";"C09BA02";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";;"?";;;;"Non";;"En attente (Organon)";"18/04/2023";
"ENALAPRIL 5 et 20 mg (Renitec)";"Comprimé sécable";"C09AA02";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"?";;;;"Non";;"En attente (Organon)";"18/04/2023";
"ENTACAPONE 200 mg (Comtan)";"Comprimé";"N04BX02";"Dopaminergiques";"Autres dopaminergiques";"G";"E";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";;"Centre Spécialités Pharmaceutiques 13-09-2022 : At occasional need COMTAN may be crushed for immediate administration via a nasogastric or PEG tube, and the tube rinsed thereafter.
It is also possible to dissolve it in e.g. apple juice for an occasional need of immediate administration via tube. [,,,] Patients should not chew and crush COMTAN tablets in their mouth due to a likely discoloration of mouth and teeth. ";"18/04/2023";
"ENTECAVIR 0,5 et 1 mg (Baraclude)";"Comprimé";"J05AF10";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Solution buvable";"Peut nécessiter d'être pris à jeun (? 2h à distance des repas) dans les formes compliquées d'hépatite.";"Bristol Myers Squibb 28-02-2022 : cf. RCP";"18/04/2023";
"EPLERENONE 25 et 50 mg (Inspra)";"Comprimé";"C03DA04";"Diurétiques épargneurs potassiques";"Antagonistes de l'aldostérone";;"NE";"Thériaque 03/2023";"Ecrasable selon HUG 03/2023";;"Non";"Eviter le jus de pamplemousse.";"En attente (Viatris)";"18/04/2023";
"ERLOTINIB 25, 100 et 150 mg (Tarceva)";"Comprimé";"L01EB02";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre ? 1h avant ou ? 2h après les repas. Eviter le jus de pamplemousse.";"Roche 21-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ESCITALOPRAM 5, 10, 15 et 20 mg (Seroplex)";"Comprimé ou comprimé sécable";"N06AB10";"Antidépresseurs";"Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS)";"G";"NE";"Notice patient";;;"Solution buvable en gouttes";;;"18/04/2023";
"ESLICARBAZEPINE 800mg";"Comprimé";"N03AF04";"Antiépileptiques";"Dérivés des carboxamides";;"E";"RCP";;"E, C";"Non";"Peut être écrasé et mélangé à de l'eau ou à des aliments semi-liquides, tels que de la compote de pommes, juste avant leur administration par voie orale";;"26/06/2024";
"ESOMEPRAZOLE 20 et 40 mg (génériques)";"Gélule GR";"A02BC05";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Inhibiteurs de la pompe à protons";;"O, NE";"RCP";;"E";"Granulés GR";"Peut être vidé dans ½ verre d'eau plate et administré dans un délai de 30 min. Ne pas utiliser d'autre liquide pour ne pas dissoudre l'enrobage entérique.";;"18/04/2023";
"ESOMEPRAZOLE 20 et 40 mg (Inexium)";"Comprimé GR";"A02BC05";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Inhibiteurs de la pompe à protons";;"D";"RCP";;"E";"Granulés GR";"Peut être dissout sans l'écraser dans ½ verre d'eau plate et administré dans un délai de 30 min. Ne pas utiliser d'autre liquide pour ne pas dissoudre l'enrobage entérique.";;"18/04/2023";
"ESTERS ETHYLIQUES 90 D'ACIDES OMEGA-3 1000 mg (Omacor)";"Capsule molle";"C10AX06";"Agents réduisants les lipides sériques, non associés";"Autres agents réduisant les lipides sériques";;"NO";"Réponse laboratoire";;;"Non";"A prendre de préférence pendant les repas.";"Pierre Fabre 21-02-2022 : risque d'oxydation à l'air de l'huile si ouverture";"18/04/2023";
"ESTRAMUSTINE 140 mg (Estracyt)";"Gélule";"L01XX11";"Autres antinéoplasiques";"Autres antinéoplasiques";;"NO";"RCP";;;"Non";"A prendre ? 1h avant ou ? 2h après les repas. PA irritant et cytotoxique.";;"18/04/2023";
"ETAMSYLATE 250 et 500 mg (Dicynone)";"Comprimé";"B02BX01";"Vitamine K et autres hémostatiques";"Autres hémostatiques systémiques";;"NE";"RCP";;;"Solution injectable par voie orale diluée dans ½ verre d'eau";;;"18/04/2023";
"ETHAMBUTOL 500 mg (Dexambutol)";"Comprimé";"J04AK02";"Antituberculeux";"Autres antituberculeux";;"E";"RCP";;"E, J, L, C, Y";"Non";"Mélangeable à l'alimentation ou une boisson.";;"18/04/2023";
"ETIFOXINE 50 mg (Stresam)";"Gélule";"N05BX03";"Anxiolytiques";"Autres anxiolytiques";;"O";"Réponse laboratoire";;;"Non";;"Biocodex 09/04/2024 : Possibilité d'ouvrir les gélules. L'enveloppe sert à masquer le goût probablement amer du PA. ";"11/04/2024";
"ETILEFRINE 5 mg (Effortil)";"Comprimé";"C01CA01";"Cardiotoniques sauf les glycosides cardiotoniques";"Adrénergiques et dopaminergiques";;"NE";"Réponse laboratoire";;;"Solution buvable en gouttes";;"Serb 22-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ETOPOSIDE 50 mg (Celltop)";"Capsule molle";"L01CB01";"Alcaloïdes végétaux et autres produits d'origine naturelle";"Dérivés de la podophyllotoxine";;"NO";"Notice patient";;;"Non";"A prendre à jeun.";"En attente (Baxter)";"18/04/2023";
"EVEROLIMUS 0,5 ; 0,75 ; 2,5 ; 5 et 10 mg (Votubia, Certican, Afinitor)";"Comprimé";"L04AA18";"Immunosuppresseurs";"Immunosuppresseurs sélectifs";;"NE";"RCP";;;"Comprimés dispersibles";"A prendre à heure fixe, avec ou sans aliments mais de façon constante. PA cytotoxique. Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"EXEMESTANE 25 mg (Aromasine)";"Comprimé";"L02BG06";"Antihormones et apparentés";"Inhibiteurs de l'aromatase";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"PA tératogène. A prendre à heure fixe, de préférence après les repas.";"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"EXTRAIT DE FEUILLES DE GINKGO BILOBA 40 mg (Tanakan)";"Comprimé";"N06DX02";"Médicaments contre la démence";"Autres médicaments contre la démence";"G";"E";"Réponse laboratoire";;"E, J, L, C, Y";"Solution buvable";"A prendre pendant les repas.";"Ipsen 18-02-2022 : pas d'opposition au broyage hormis le goût amer, ni au mélange avec les boissons ou aliments. PA hydrosoluble, mais certains excipients sont insolubles.";"18/04/2023";
"EXTRAIT DU FRUIT DE PALMIER DE FLORIDE 160 mg (Permixon)";"Gélule";"G04CX02";"Médicaments de l'hypertrophie bénigne de la prostate";"Autres médicaments de l'hypertrophie bénigne de la prostate";"G";"NO";"Réponse laboratoire";;;"Non";"A prendre pendant les repas.";"Pierre Fabre 21-02-2022 : risque d'oxydation et de troubles digestifs si gélule ouverte.";"18/04/2023";
"EXTRAIT PURIFIE DE PEPIN DE RAISIN 150 mg (Endotelon)";"Comprimé GR";"C05CX";"Médicaments agissant sur les capillaires";"Autres médicaments agissant sur les capillaires";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence en dehors des repas.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"EZETIMIBE 10 mg (Ezetrol)";"Comprimé";"C10AX09";"Agents réduisants les lipides sériques, non associés";"Autres agents réduisant les lipides sériques";;"?";;"Ecrasable selon HUG 03/2023";;"Non";;"En attente (Organon)";"18/04/2023";
"FAMCICLOVIR 125 et 500 mg (Oravir)";"Comprimé";"J05AB09";"Antiviraux à action directe";"Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ";;"?";;;;"Non";;"En attente (Centre de Specialites Pharmaceutiques)";"18/04/2023";
"FEBUXOSTAT 80 et 120 mg (Adenuric)";"Comprimé ";"M04AA03";"Inhibiteurs de la synthèse d’acide urique";"Uricosurique";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"Peut-être pris au cours ou en dehors des repas";"MENARINI 04-01-2024 : écrasement déconseillé car pas d'étude";"05/01/2024";
"FELODIPINE LP 5 mg (Flodil)";"Comprimé LP";"C08CA02";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NE";"RCP";;;"Non";"A prendre le matin en dehors des repas ou après un repas léger, pauvre en graisse et en sucre. Eviter le jus de pamplemousse.";"AstraZeneca 06-04-2022 : cf. RCP.";"18/04/2023";
"FENOFIBRATE 145 et 160 mg (Lipanthyl)";"Comprimé";"C10AB05";"Agents réduisants les lipides sériques, non associés";"Fibrates";;"NE";"Notice patient";;;"Non";;;"18/04/2023";
"FENOFIBRATE 67 et 200 mg (Lipanthyl micronisé)";"Gélule";"C10AB05";"Agents réduisants les lipides sériques, non associés";"Fibrates";;"NO";"RCP";"Ouvrable selon HUG 03/2023";;"Non";"A prendre pendant les repas.";"Viatris 17-02-2023 : cf. RCP";"18/04/2023";
"FIDAXOMICINE 200 mg (Dificlir)";"Comprimé";"A07AA12";"Antiseptiques intestinaux";"Antibiotiques";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Granulés pour suspension buvable";;;"18/04/2023";
"FINASTERIDE 5 mg (Chibro-Proscar)";"Comprimé";"G04CB01";"Médicaments de l'hypertrophie bénigne de la prostate";"Inhibiteurs de la 5?-réductase";;"NE";"RCP";;;"Non";"Ne pas faire manipuler de comprimé cassé par une femme enceinte";;"18/04/2023";
"FINGOLIMOD 0,25 et 0,5 mg (Gilenya)";"Gélule";"L04AA27";"Immunosuppresseurs";"Immunosuppresseurs sélectifs";;"NO";"RCP";;;"Non";;"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"FLECAINIDE 100 mg (Flecaine)";"Comprimé sécable";"C01BC04";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ic";;"NE";"Réponse laboratoire";;;"Non";;"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"FLECAINIDE LP 50, 100, 150 et 200 mg (Flecaine LP)";"Gélule LP";"C01BC04";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ic";;"NO";"Réponse laboratoire";;;"Non";;"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"FLUBENDAZOLE 100 mg (Fluvermal)";"Comprimé sécable";"P02CA05";"Antinématodes";"Dérivés du benzimidazole";;"E";"RCP";;"E";"Suspension buvable";"Peut être croqué pendant les repas.";;"18/04/2023";
